oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-CBD-82,474.0,1571745.11,5179578.8,2011
CPT-CBD-83,475.0,1569428.09,5179417.92,2011
CPT-CBD-86,478.0,1570166.79,5179357.79,2011
CPT-CBD-87,479.0,1570350.22,5179324.19,2011
CPT-CBD-91,483.0,1571358.9,5179337.78,2011
CPT-CBD-92,484.0,1571553.23,5179391.64,2011
CPT-CBD-94,486.0,1569140.92,5179094.56,2011
CPT-CBD-98P,491.0,1569879.48,5179176.59,2011
CPT-CBD-OC01,1009.0,1571080.28,5180388.49,2011
CPT-CBD-OC03,504.0,1571108.1,5180379.32,2011
CPT-CBD-PC01,505.0,1571079.78,5180387.0,2011
CPT-CBD-PC03,507.0,1571108.12,5180380.19,2011
CPT-CBD-Z2-1,27239.0,1570502.21,5180375.42,2011
CPT-CBD-Z2-11,27253.0,1570623.21,5180460.58,2011
CPT-CHM-08,1071.0,1570406.17,5176324.53,2011
CPT-CHM-12,1075.0,1570554.71,5176183.38,2011
CPT-FND-25,1162.0,1568501.05,5181766.68,2011
CPT-FND-27,1164.0,1568539.58,5181119.79,2011
CPT-FND-28,1165.0,1568235.36,5181136.81,2011
CPT-HLB-03,1216.0,1573365.21,5176968.37,2011
CPT-HLB-04,1217.0,1573402.57,5176950.53,2011
CPT-HLB-07,1220.0,1573413.86,5176633.96,2011
CPT-HLB-10,1223.0,1573538.31,5176722.49,2011
CPT-HLB-11,1224.0,1573666.56,5176925.27,2011
CPT-HLB-12,1225.0,1573661.84,5176763.43,2011
CPT-HNH-09,1238.0,1567055.41,5177121.08,2011
CPT-HNH-11,1239.0,1567663.25,5177139.63,2011
CPT-HNH-14,1241.0,1567298.83,5176839.25,2011
CPT-HNH-18,1245.0,1566747.11,5176513.5,2011
CPT-HNH-21,1247.0,1567983.8,5176761.87,2011
CPT-HNH-22,1248.0,1568189.33,5176910.9,2011
